PLUNo,Barcode,PLUName,UnitPrice,item_ClsCode,pkgUnitCd,qtyUnitCd,OrgnNatCd,BtchNo,TaxType,sftyQty,TypeCode,isrcAplcbYn,AddInfo,changeqty,Stocks,UseYorN
1,1,Demo Stock Item,100,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,0,02Finished Product,0,,0,999993,1
2,2,Aco Pine Gel Original 250ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
3,3,Airoma Airfreshners Citrus Dazzle 300ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
4,4,Airoma Airfreshners Cotton Breeze 300ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
5,5,Airoma Airfreshners Floral Bloom 300ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
6,6,Airoma Airfreshners Lavender Dreams 300ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
7,7,Airoma Airfreshners Ocean Spray 300ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
8,8,Airoma Airfreshners Pomegranate 300ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
9,9,Airoma Pocket Freshener Aqua Fresh,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
10,10,Airoma Pocket Freshener Citrus Burst,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
11,11,Airoma Pocket Freshener Fruit Blast,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
12,12,Airoma Pocket Freshener Lavender Mist,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
13,13,BLUEBERRY SAUCE 10*650gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
